transaction_id,player_id,skin_id,purchase_date,price_rp,quantity
1,639,51,2026-01-15,1350,1
2,424,93,2025-11-06,1820,1
3,1507,36,2026-01-18,1350,1
4,249,108,2025-03-15,1820,1
5,3328,9,2025-07-21,1350,1
6,4008,96,2025-05-08,750,1
7,4066,71,2025-06-18,1820,1
8,3262,31,2025-05-11,975,1
9,2059,71,2025-08-12,1820,1
10,3856,32,2025-11-19,1820,1
11,914,55,2026-01-10,1350,1
12,1885,9,2025-09-19,1350,1
13,1197,105,2025-03-22,1350,1
14,2670,124,2025-08-17,1350,1
15,3339,72,2025-11-17,1350,1
16,4596,92,2025-05-01,1350,1
17,1357,27,2026-01-11,1350,1
18,1574,83,2025-04-01,1350,1
19,4208,141,2025-02-14,1350,1
20,876,39,2025-06-07,1350,1
21,135,9,2025-11-12,1350,1
22,2687,150,2025-03-22,1350,1
23,4250,24,2025-04-26,750,1
24,3624,51,2025-05-04,1350,1
25,2648,155,2025-11-29,975,1
26,4585,33,2025-02-01,1350,1
27,4876,117,2025-11-14,520,1
28,97,147,2025-01-30,1350,1
29,683,141,2025-04-30,1350,1
30,614,94,2025-04-15,750,1
31,1591,84,2025-09-29,1820,1
32,781,94,2025-05-20,750,1
33,1321,87,2025-01-31,1820,1
34,1261,104,2025-12-19,1350,1
35,1580,124,2025-03-11,1350,1
36,1600,132,2025-03-08,1350,1
37,4214,70,2025-05-07,1350,1
38,1669,22,2025-02-17,750,1
39,722,36,2025-10-25,1350,1
40,3915,2,2025-03-15,1350,1
41,4540,77,2025-05-07,520,1
42,1853,92,2025-03-19,1350,1
43,431,21,2025-07-03,1350,1
44,1505,45,2025-02-16,1350,1
45,384,67,2025-08-11,1820,1
46,1807,109,2025-11-13,1350,1
47,3958,137,2025-06-30,1350,1
48,3301,16,2025-10-28,1350,1
49,2378,44,2025-05-09,750,1
50,1322,18,2025-03-19,1350,1
51,3065,143,2025-02-01,750,1
52,3413,105,2025-03-07,1350,1
53,4127,35,2025-04-27,1350,1
54,1071,36,2025-05-26,1350,1
55,4966,66,2025-03-17,1350,1
56,980,108,2026-01-11,1820,1
57,4108,135,2025-05-08,975,1
58,265,129,2025-10-11,1350,1
59,895,55,2025-11-27,1350,1
60,2347,44,2025-07-07,750,1
61,3934,153,2025-09-21,975,1
62,1790,88,2025-05-31,520,1
63,3612,56,2025-06-30,1350,1
64,3390,86,2025-12-11,3250,1
65,2188,27,2025-09-25,1350,1
66,4654,156,2025-07-28,1350,1
67,3436,26,2025-12-08,1350,1
68,4250,30,2025-07-05,750,1
69,478,140,2025-04-25,1350,1
70,1824,82,2025-09-19,1820,1
71,1451,23,2025-11-15,1350,1
72,4728,157,2025-07-18,1350,1
73,286,14,2025-12-28,1820,1
74,1429,149,2025-03-08,1350,1
75,1107,125,2025-07-28,1350,1
76,3419,44,2026-01-07,750,1
77,1950,20,2025-11-29,750,1
78,4356,126,2025-07-16,1350,1
79,2075,120,2025-05-26,520,1
80,4827,88,2025-09-28,520,1
81,214,124,2025-07-28,1350,1
82,943,42,2025-12-30,1350,1
83,586,4,2025-06-19,1350,1
84,965,145,2025-07-27,1350,1
85,4075,78,2025-03-15,1350,1
86,1633,119,2025-09-21,975,1
87,2975,44,2025-02-01,750,1
88,4257,45,2025-12-05,1350,1
89,341,125,2025-10-27,1350,1
90,1333,10,2025-11-29,1350,1
91,2285,133,2025-11-08,1350,1
92,782,7,2025-05-06,975,1
93,4514,153,2025-03-10,975,1
94,4935,62,2025-12-06,1820,1
95,3802,41,2025-07-22,520,1
96,3410,28,2025-07-16,1820,1
97,509,105,2026-01-10,1350,1
98,580,14,2025-02-21,1820,1
99,2915,60,2025-12-16,1350,1
100,3660,144,2025-09-08,520,1
101,4584,103,2025-08-19,975,1
102,3680,22,2025-04-01,750,1
103,1169,72,2026-01-04,1350,1
104,4099,113,2025-09-14,1350,1
105,2650,75,2025-03-26,1820,1
106,1811,52,2025-10-07,1350,1
107,2056,60,2025-04-13,1350,1
108,2800,12,2025-07-07,1350,1
109,3601,10,2025-02-11,1350,1
110,3176,121,2025-04-16,1350,1
111,4379,36,2025-02-10,1350,1
112,3129,35,2025-10-06,1350,1
113,563,40,2025-12-21,1350,1
114,353,129,2025-09-02,1350,1
115,4656,130,2025-09-05,1350,1
116,483,45,2025-10-25,1350,1
117,211,13,2025-11-09,1350,1
118,2268,66,2025-02-15,1350,1
119,1379,55,2025-11-23,1350,1
120,606,155,2025-11-28,975,1
121,4010,84,2026-01-01,1820,1
122,2969,96,2025-09-22,750,1
123,3365,46,2025-08-24,1350,1
124,2753,31,2025-02-26,975,1
125,2081,61,2025-12-30,750,1
126,989,41,2025-05-25,520,1
127,2604,151,2025-09-03,1350,1
128,2733,94,2026-01-02,750,1
129,1157,92,2025-05-11,1350,1
130,2481,149,2025-10-27,1350,1
131,746,81,2025-03-22,1350,1
132,3584,118,2025-02-20,975,1
133,4494,143,2025-07-26,750,1
134,1783,150,2025-06-28,1350,1
135,4611,45,2025-03-18,1350,1
136,1898,56,2025-08-02,1350,1
137,4526,84,2025-10-03,1820,1
138,655,115,2025-06-27,1350,1
139,1252,139,2025-05-03,1350,1
140,1639,40,2025-12-21,1350,1
141,4278,110,2025-06-05,1350,1
142,506,35,2025-07-02,1350,1
143,4398,21,2025-02-06,1350,1
144,687,6,2026-01-04,1350,1
145,4594,24,2025-03-20,750,1
146,218,103,2025-11-03,975,1
147,2180,8,2025-05-06,520,1
148,963,32,2025-12-27,1820,1
149,1446,151,2025-07-05,1350,1
150,726,152,2025-04-04,1350,1
151,4657,86,2025-05-07,3250,1
152,2143,18,2025-02-19,1350,1
153,3927,34,2025-07-14,520,1
154,912,83,2025-04-19,1350,1
155,34,6,2025-09-04,1350,1
156,2911,134,2025-12-09,975,1
157,92,72,2025-09-01,1350,1
158,1728,16,2025-09-01,1350,1
159,3247,125,2025-02-01,1350,1
160,4081,133,2025-12-28,1350,1
161,2570,92,2025-06-28,1350,1
162,810,12,2026-01-03,1350,1
163,3295,156,2025-12-30,1350,1
164,4377,24,2025-08-16,750,1
165,2992,110,2025-03-02,1350,1
166,710,137,2025-11-09,1350,1
167,3179,8,2025-07-29,520,1
168,3156,8,2025-04-26,520,1
169,3163,61,2025-08-10,750,1
170,3501,106,2025-11-16,520,1
171,2278,2,2025-06-12,1350,1
172,3223,44,2025-12-12,750,1
173,1620,36,2025-08-02,1350,1
174,2809,108,2025-11-18,1820,1
175,2739,99,2025-05-31,1350,1
176,1682,75,2025-02-16,1820,1
177,4051,56,2025-06-05,1350,1
178,249,15,2025-06-28,1820,1
179,754,152,2026-01-24,1350,1
180,390,125,2025-08-05,1350,1
181,2846,77,2025-12-15,520,1
182,2974,135,2025-10-19,975,1
183,45,157,2025-05-22,1350,1
184,1807,105,2025-10-24,1350,1
185,4673,104,2025-02-26,1350,1
186,3643,70,2025-03-10,1350,1
187,4803,101,2025-05-22,975,1
188,4988,109,2025-06-30,1350,1
189,4723,106,2025-12-12,520,1
190,171,114,2025-04-07,1820,1
191,686,65,2025-10-17,1350,1
192,65,33,2025-09-27,1350,1
193,963,55,2026-01-02,1350,1
194,1123,151,2025-07-31,1350,1
195,1007,105,2025-10-13,1350,1
196,2306,82,2025-08-31,1820,1
197,4744,80,2026-01-10,1350,1
198,2638,92,2025-04-15,1350,1
199,898,126,2025-07-06,1350,1
200,4389,149,2025-09-09,1350,1
201,4946,90,2026-01-17,1350,1
202,248,99,2025-07-15,1350,1
203,994,118,2025-02-24,975,1
204,3058,67,2025-03-22,1820,1
205,2835,39,2025-05-05,1350,1
206,3773,98,2025-09-16,1350,1
207,3506,121,2025-06-11,1350,1
208,2756,38,2025-08-29,1350,1
209,317,118,2025-04-05,975,1
210,3489,61,2025-06-24,750,1
211,2057,41,2025-08-23,520,1
212,4346,27,2025-05-24,1350,1
213,4290,157,2025-03-08,1350,1
214,4584,156,2025-05-15,1350,1
215,2455,153,2025-11-13,975,1
216,3776,75,2025-10-13,1820,1
217,4089,134,2025-03-24,975,1
218,4722,105,2025-02-11,1350,1
219,72,134,2025-12-06,975,1
220,3389,113,2025-10-26,1350,1
221,910,18,2025-03-22,1350,1
222,2188,92,2025-12-05,1350,1
223,692,144,2025-10-23,520,1
224,2665,19,2025-03-22,1350,1
225,2406,30,2026-01-19,750,1
226,253,118,2025-03-15,975,1
227,1798,46,2025-08-20,1350,1
228,3330,56,2025-04-27,1350,1
229,775,22,2025-04-16,750,1
230,277,75,2025-07-28,1820,1
231,304,67,2025-09-20,1820,1
232,3308,119,2025-03-31,975,1
233,4217,70,2025-12-18,1350,1
234,4054,27,2025-04-13,1350,1
235,2733,133,2025-10-01,1350,1
236,485,31,2025-07-28,975,1
237,2309,62,2025-09-03,1820,1
238,1600,84,2025-10-12,1820,1
239,1213,6,2025-08-15,1350,1
240,1868,125,2025-12-24,1350,1
241,478,125,2025-05-08,1350,1
242,4240,105,2025-09-29,1350,1
243,295,4,2026-01-04,1350,1
244,1241,47,2025-08-30,1350,1
245,428,18,2025-11-26,1350,1
246,1650,87,2026-01-09,1820,1
247,4509,147,2025-05-13,1350,1
248,630,57,2025-11-03,750,1
249,2884,141,2025-04-22,1350,1
250,153,123,2025-03-19,1350,1
251,3241,35,2025-07-18,1350,1
252,4807,77,2025-11-18,520,1
253,4476,41,2025-09-07,520,1
254,2636,86,2025-09-11,3250,1
255,1990,47,2025-11-08,1350,1
256,4622,88,2025-10-11,520,1
257,1737,45,2025-07-19,1350,1
258,4827,146,2025-03-24,1350,1
259,2480,76,2025-04-02,520,1
260,388,115,2025-03-08,1350,1
261,3918,144,2025-07-03,520,1
262,4316,30,2025-08-06,750,1
263,3647,91,2025-05-20,1350,1
264,681,12,2026-01-24,1350,1
265,4350,23,2025-12-29,1350,1
266,525,7,2025-09-27,975,1
267,1352,134,2025-06-03,975,1
268,4656,101,2025-12-20,975,1
